Name,City
Burj Khalifa,Dubai
Merdeka 118,Kuala Lumpur
Shanghai Tower,Shanghai
The Clock Towers,Mecca
Ping An International Finance Centre,Shenzhen
Lotte World Tower,Seoul
One World Trade Center,New York City
Guangzhou CTF Finance Centre,Guangzhou
97 (+ 4 below ground),[23]
China Zun,Beijing
Taipei 101,Taipei
Shanghai World Financial Center,Shanghai
International Commerce Centre,Hong Kong
Wuhan Greenland Center,Wuhan
Central Park Tower,New York City
Lakhta Center,Saint Petersburg
Landmark 81,Ho Chi Minh City
Chongqing International Land-Sea Center,Chongqing
The Exchange 106,Kuala Lumpur
Changsha IFS Tower T1,Changsha
Petronas Tower 1,Kuala Lumpur
Zifeng Tower,Nanjing
95 (+ 5 below ground),[37]
Wuhan Center,Wuhan
Willis Tower,Chicago
KK100,Shenzhen
Guangzhou International Finance Center,Guangzhou
111 West 57th Street,New York City
Shandong International Financial Center,Jinan
One Vanderbilt,New York City
Nanjing Financial City Phase II Plot C Tower 1,Nanjing
432 Park Avenue,New York City
Marina 101,Dubai
Trump International Hotel and Tower,Chicago
JPMorgan Chase World Headquarters,New York City
Minying International Trade Center 1,Dongguan
Jin Mao Tower,Shanghai
Princess Tower,Dubai
Al Hamra Tower,Kuwait City
Two International Finance Centre,Hong Kong
Haeundae LCT The Sharp Landmark Tower,Busan
Ningbo Central Plaza,Ningbo
Guangxi China Resources Tower,Nanning
Guiyang International Financial Center T1,Guiyang
Iconic Tower,New Administrative Capital
China Merchants Bank Global Headquarters Main Tower,Shenzhen
China Resources Tower,2018
23 Marina,Dubai
CITIC Plaza,Guangzhou
Citymark Centre,Shenzhen
Shum Yip Upperhills Tower 1,2020
30 Hudson Yards,New York City
Public Investment Fund Tower,Riyadh
Shun Hing Square,Shenzhen
Eton Place Dalian Tower 1,Dalian
Autograph Tower,Jakarta
Logan Century Center 1,Nanning
Burj Mohammed bin Rashid,Abu Dhabi
Empire State Building,New York City
Elite Residence,Dubai
Riverview Plaza,Wuhan
60,[78]
Dabaihui Plaza,Shenzhen
Central Plaza,Hong Kong
Federation Tower (East Tower),Moscow
Hengfeng Guiyang Center Tower 1,Guiyang
Dalian International Trade Center,Dalian
Shanghai International Trade Center Tower 1,Shanghai
73 (+ 3 below ground),
Haitian Center Tower 2,Qingdao
Golden Eagle Tiandi Tower A,Nanjing
Bank of China Tower,Hong Kong
Bank of America Tower,New York City
Ciel Tower,Dubai
St. Regis Chicago,Chicago
Almas Tower,Dubai
62 (+ 3 below ground),
Huiyun Center,Shenzhen
Hanking Center,2018
Greenland Group Suzhou Center,Suzhou
94,
Gevora Hotel,2017
Galaxy World Tower 1,Shenzhen
79,
JW Marriott Marquis Dubai Tower 1,2012
Emirates Office Tower,2000
Raffles City Chongqing T3N,Chongqing
OKO â€“ South Tower,Moscow
CBRT Tower,Istanbul
86 (+ 4 below ground),
Forum 66 Tower 1,Shenyang
The Pinnacle,Guangzhou
Xi'an Glory International Financial Center,Xi'an
